,Unnamed: 0,travel_time,itinerary,price,airlines,provider,duplicate
143,143,1471.0,AA0039||AA1221|AA6236,713.92,AA,Alternate,False
144,144,1350.0,BA0209||AA1276|AA0020,713.92,AA|BA,Alternate,False
145,145,1917.0,DL4376|DL1415||DL8345|DL8324,732.72,DL,Alternate,False
146,146,1575.0,AF1681|AF0090||AF0099|AF1780,739.54,AF,Alternate,False
148,148,1655.0,EI0155|EI0141||EI0140|EI0168,774.09,EI,Alternate,False
160,160,1305.0,IB7399||AA2303|AA0046,793.92,AA|IB,Alternate,False
161,161,1254.0,IB7399||AA2457|AA0098,793.92,AA|IB,Alternate,False
162,162,1254.0,IB7328||AA2457|AA0098,793.92,AA|IB,Alternate,False
163,163,1305.0,IB7328||AA2303|AA0046,793.92,AA|IB,Alternate,False
164,164,1269.0,IB4228||AA2457|AA0098,793.92,AA|IB,Alternate,False
165,165,1320.0,IB4228||AA2303|AA0046,793.92,AA|IB,Alternate,False
166,166,1305.0,BA0211||AA2303|AA0046,793.92,AA|BA,Alternate,False
167,167,1254.0,BA0209||AA2457|AA0098,793.92,AA|BA,Alternate,False
168,168,1305.0,BA0209||AA2303|AA0046,793.92,AA|BA,Alternate,False
169,169,1269.0,BA1528||AA2457|AA0098,793.92,AA|BA,Alternate,False
170,170,1320.0,BA1528||AA2303|AA0046,793.92,AA|BA,Alternate,False
171,171,1254.0,BA0211||AA2457|AA0098,793.92,AA|BA,Alternate,False
175,175,1410.0,KL4816||KL5942|KL4801,819.92,KL,Alternate,False
179,179,1343.0,IB7328||AA2569|AA6240,836.62,AA|IB,Alternate,False
180,180,1343.0,IB7399||AA2569|AA6240,836.62,AA|IB,Alternate,False
181,181,1358.0,IB4228||AA2569|AA6240,836.62,AA|IB,Alternate,False
182,182,1343.0,BA0209||AA2569|AA6240,836.62,AA|BA,Alternate,False
183,183,1358.0,BA1528||AA2569|AA6240,836.62,AA|BA,Alternate,False
184,184,1343.0,BA0211||AA2569|AA6240,836.62,AA|BA,Alternate,False
189,189,1090.0,IB4228||IB7396,943.92,IB,Alternate,False
190,190,1075.0,IB7399||IB7396,943.92,IB,Alternate,False
191,191,1075.0,BA0209||BA0206,943.92,BA,Alternate,False
192,192,1090.0,BA1528||BA0206,943.92,BA,Alternate,False
193,193,1249.0,AY4029||AA1074|AA6165,962.92,AA|AY,Alternate,False
194,194,1302.0,AY4029||AA2572|AA0104,962.92,AA|AY,Alternate,False
195,195,1234.0,AY5408||AA1074|AA6165,962.92,AA|AY,Alternate,False
196,196,1367.0,AY5408||AA0225|AA6165,962.92,AA|AY,Alternate,False
197,197,1287.0,AY5408||AA2572|AA0104,962.92,AA|AY,Alternate,False
198,198,1234.0,AY5509||AA1074|AA6165,962.92,AA|AY,Alternate,False
199,199,1367.0,AY5509||AA0225|AA6165,962.92,AA|AY,Alternate,False
