,Unnamed: 0,travel_time,itinerary,price,airlines,provider
21,21,2566.0,AA0051|AA2239||IB4210|IB4250,493.42,AA|IB,Alternate
22,22,2864.0,AA0731|AA1577||IB4210|IB4250,493.42,AA|IB,Alternate
23,23,2729.0,AA0733|AA1577||IB4210|IB4250,493.42,AA|IB,Alternate
24,24,2236.0,AA6124||IB4210|IB4250,493.42,AA|IB,Alternate
25,25,2749.0,AA0081|AA2720||IB4210|IB4250,493.42,AA|IB,Alternate
26,26,2540.0,AA6211|AA2624||IB4210|IB4250,501.52,AA|IB,Alternate
27,27,2431.0,AA6211|AA0669||IB4210|IB4250,501.52,AA|IB,Alternate
28,28,2810.0,AA6231|AA4379||IB4210|IB4250,533.42,AA|IB,Alternate
29,29,2544.0,AA6154|AA2720||IB4210|IB4250,533.42,AA|IB,Alternate
30,30,1425.0,AA6124||AY4044|AY5760,587.92,AA|AY,Alternate
31,31,1425.0,AA6162||AY4044|AY5760,587.92,AA|AY,Alternate
32,32,1440.0,AY4029||AY4044|AY5760,587.92,AY,Alternate
33,33,1425.0,AY5408||AY4044|AY5760,587.92,AY,Alternate
34,34,1425.0,AY5509||AY4044|AY5760,587.92,AY,Alternate
35,35,1440.0,AA0039||AY4044|AY5760,587.92,AA|AY,Alternate
36,36,1343.0,AY5509||AA0251|AA6137,627.92,AA|AY,Alternate
37,37,1379.0,AY5408||AA0293|AA6192,627.92,AA|AY,Alternate
38,38,1479.0,AY5408||AA1803|AA6192,627.92,AA|AY,Alternate
39,39,1297.0,AY5509||AA0225|AA6200,627.92,AA|AY,Alternate
40,40,1362.0,AY5408||AA1618|AA6171,627.92,AA|AY,Alternate
41,41,1449.0,AY5509||AA2552|AA6171,627.92,AA|AY,Alternate
42,42,1340.0,AY5509||AA1159|AA6196,627.92,AA|AY,Alternate
43,43,1430.0,AY5408||AA0029|AA6200,627.92,AA|AY,Alternate
44,44,1497.0,AY5509||AA1457|AA6150,627.92,AA|AY,Alternate
45,45,1405.0,AY5509||AA2303|AA6196,627.92,AA|AY,Alternate
46,46,1362.0,AY5509||AA1618|AA6171,627.92,AA|AY,Alternate
47,47,1497.0,AY5408||AA1457|AA6150,627.92,AA|AY,Alternate
48,48,1379.0,AY5509||AA0293|AA6192,627.92,AA|AY,Alternate
49,49,1300.0,AY5509||AA0029|AA6163,627.92,AA|AY,Alternate
50,50,1430.0,AY5509||AA0029|AA6200,627.92,AA|AY,Alternate
51,51,1493.0,AY5408||AA1249|AA6137,627.92,AA|AY,Alternate
52,52,1358.0,AY5509||AA1199|AA6150,627.92,AA|AY,Alternate
53,53,1420.0,AY5509||AA1947|AA6163,627.92,AA|AY,Alternate
54,54,1479.0,AY5509||AA1803|AA6192,627.92,AA|AY,Alternate
55,55,1420.0,AY5408||AA1947|AA6163,627.92,AA|AY,Alternate
56,56,1456.0,AY5408||AA1556|AA6137,627.92,AA|AY,Alternate
57,57,1358.0,AY5408||AA1199|AA6150,627.92,AA|AY,Alternate
58,58,1394.0,AY4029||AA0293|AA6192,627.92,AA|AY,Alternate
59,59,1297.0,AY5408||AA0225|AA6200,627.92,AA|AY,Alternate
60,60,1373.0,AY4029||AA1199|AA6150,627.92,AA|AY,Alternate
61,61,1471.0,AY4029||AA1556|AA6137,627.92,AA|AY,Alternate
62,62,1377.0,AY4029||AA1618|AA6171,627.92,AA|AY,Alternate
63,63,1494.0,AY4029||AA1803|AA6192,627.92,AA|AY,Alternate
64,64,1435.0,AY4029||AA1947|AA6163,627.92,AA|AY,Alternate
65,65,1312.0,AY4029||AA0225|AA6200,627.92,AA|AY,Alternate
66,66,1420.0,AY4029||AA2303|AA6196,627.92,AA|AY,Alternate
67,67,1358.0,AY4029||AA0251|AA6137,627.92,AA|AY,Alternate
68,68,1464.0,AY4029||AA2552|AA6171,627.92,AA|AY,Alternate
69,69,1315.0,AY4029||AA0029|AA6163,627.92,AA|AY,Alternate
70,70,1445.0,AY4029||AA0029|AA6200,627.92,AA|AY,Alternate
71,71,1340.0,AY5408||AA1159|AA6196,627.92,AA|AY,Alternate
72,72,1456.0,AY5509||AA1556|AA6137,627.92,AA|AY,Alternate
73,73,1449.0,AY5408||AA2552|AA6171,627.92,AA|AY,Alternate
74,74,1355.0,AY4029||AA1159|AA6196,627.92,AA|AY,Alternate
75,75,1493.0,AY5509||AA1249|AA6137,627.92,AA|AY,Alternate
76,76,1300.0,AY5408||AA0029|AA6163,627.92,AA|AY,Alternate
77,77,1405.0,AY5408||AA2303|AA6196,627.92,AA|AY,Alternate
78,78,1343.0,AY5408||AA0251|AA6137,627.92,AA|AY,Alternate
79,79,1060.0,DI7043||DI7044,632.02,DI,Alternate
80,80,1492.0,AA6211|AA0669||AA0225|AA6200,640.52,AA,Alternate
81,81,1495.0,AA6211|AA0669||AA0029|AA6163,640.52,AA,Alternate
82,82,1470.0,AY4029||AA0062|AA6555,667.22,AA|AY,Alternate
83,83,1340.0,AA6124||AA1159|AA6196,667.92,AA,Alternate
84,84,1358.0,AA6124||AA1199|AA6150,667.92,AA,Alternate
85,85,1493.0,AA6124||AA1249|AA6137,667.92,AA,Alternate
86,86,1493.0,AA6162||AA1249|AA6137,667.92,AA,Alternate
87,87,1497.0,AA6124||AA1457|AA6150,667.92,AA,Alternate
88,88,1456.0,AA6124||AA1556|AA6137,667.92,AA,Alternate
89,89,1362.0,AA6124||AA1618|AA6171,667.92,AA,Alternate
90,90,1479.0,AA6124||AA1803|AA6192,667.92,AA,Alternate
91,91,1420.0,AA6124||AA1947|AA6163,667.92,AA,Alternate
92,92,1297.0,AA6124||AA0225|AA6200,667.92,AA,Alternate
93,93,1297.0,AA6162||AA0225|AA6200,667.92,AA,Alternate
